%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1588858880481157486,1268,1588858880481051166,,0,0.0315899624339,-0.0453022668367,-0.11643741297,-0.0391371965389,0.0469567833756,-0.131857050012,-0.034606568667
1588858880484356823,1269,1588858880484269366,,0,0.0315332592069,-0.0450103511,-0.116104861971,-0.0389157956605,0.0467721783906,-0.131285884077,-0.0343890033942
1588858880490545633,1270,1588858880490466574,,0,0.0316952437255,-0.0440702266002,-0.116142944203,-0.0385873802155,0.0466071636848,-0.130453145593,-0.0338749279084
1588858880496422097,1271,1588858880496331504,,0,0.030498955999,-0.0427359537793,-0.116324117195,-0.0366208915426,0.0479177692041,-0.12932796,-0.0319081227689
1588858880502517397,1272,1588858880502421701,,0,0.0299372644845,-0.042437095648,-0.114606771347,-0.036240963699,0.0472207126839,-0.127725890774,-0.0315607123932
1588858880508546590,1273,1588858880508459743,,0,0.0298250634525,-0.0413668149508,-0.113727926531,-0.0357403343076,0.0466177752908,-0.1259454695,-0.0309323934484
1588858880514554097,1274,1588858880514465782,,0,0.0295943177804,-0.0405429645996,-0.112643166317,-0.0353122955769,0.0459813584453,-0.124263065841,-0.030405321564
1588858880517494510,1275,1588858880517404878,,0,0.0290327418721,-0.0400144749897,-0.110759345869,-0.0347857662747,0.0451883453471,-0.122306426895,-0.0299181438913
1588858880523556741,1276,1588858880523451313,,0,0.0294325108664,-0.0403820544829,-0.107662604236,-0.035937989789,0.0425673398505,-0.120280791716,-0.0310806986255
1588858880529475594,1277,1588858880529394700,,0,0.0293414090074,-0.0401422385669,-0.107345894816,-0.0357948025495,0.0423664156717,-0.119770135105,-0.0308909598344
1588858880535447846,1278,1588858880535345328,,0,0.0296253110125,-0.0402346920482,-0.10851990675,-0.0359413915331,0.0428240909415,-0.12067549927,-0.0309593234031
1588858880541501849,1279,1588858880541402295,,0,0.0300972110803,-0.0404553810369,-0.11048892419,-0.0362249874779,0.0435892527071,-0.122250053697,-0.0311174145882
1588858880547497093,1280,1588858880547415747,,0,0.030589258998,-0.0400759790392,-0.111933483339,-0.0363042297111,0.0440063255589,-0.122945182208,-0.0309838725859
1588858880553532011,1281,1588858880553432456,,0,0.0304681860784,-0.0407388437901,-0.111774834226,-0.0365710165922,0.0439666765377,-0.123443359789,-0.0313162798949
1588858880559526412,1282,1588858880559439149,,0,0.0302396562587,-0.041281336508,-0.111358941637,-0.0367116824841,0.0438925447099,-0.123653001993,-0.0315491478473
