%time,field.data
1588858575463019952,-0.182120455308
1588858575469719553,-0.181996210644
1588858575476416974,-0.181871877344
1588858575483005434,-0.181747460919
1588858575489732325,-0.181622966887
1588858575496410319,-0.181498400768
1588858575503047877,-0.18137376809
1588858575509690076,-0.181249074383
1588858575516362679,-0.181124325182
1588858575523080925,-0.180999526027
1588858575529702661,-0.180874682459
1588858575536362447,-0.180749800024
1588858575543018521,-0.180624884269
1588858575549797032,-0.180499940744
1588858575556393034,-0.180374975001
1588858575563012595,-0.180249992593
1588858575569720649,-0.180124999074
1588858575576345036,-0.18
1588858575583057617,-0.179875000926
1588858575589721645,-0.179750007407
1588858575596361528,-0.179625024999
1588858575602997214,-0.179500059256
1588858575609680161,-0.179375115731
1588858575616412896,-0.179250199976
1588858575623046702,-0.179125317541
1588858575629744135,-0.179000473973
1588858575636408193,-0.178875674818
1588858575643071741,-0.178750925617
1588858575649730078,-0.17862623191
1588858575656390313,-0.178501599232
1588858575663080407,-0.178377033113
1588858575669734208,-0.178252539081
1588858575676402775,-0.178128122656
1588858575683056802,-0.178003789356
1588858575689711345,-0.177879544692
1588858575696417928,-0.177755394168
1588858575702995822,-0.177631343284
1588858575709750813,-0.177507397531
1588858575716394837,-0.177383562395
1588858575723041569,-0.177259843353
1588858575729737866,-0.177136245875
1588858575736463775,-0.177012775424
1588858575743021980,-0.176889437452
1588858575749673337,-0.176766237403
1588858575756410820,-0.176643180713
1588858575763037712,-0.176520272808
1588858575769781291,-0.176397519101
1588858575776348456,-0.176274925
1588858575783103829,-0.176152495898
1588858575789707303,-0.176030237178
1588858575796426159,-0.175908154212
1588858575803072709,-0.17578625236
1588858575809705482,-0.17566453697
1588858575816446644,-0.175543013376
1588858575823103501,-0.175421686901
1588858575829732860,-0.175300562854
1588858575836365902,-0.17517964653
1588858575843078406,-0.17505894321
1588858575849718557,-0.17493845816
1588858575856395167,-0.174818196632
1588858575863075556,-0.174698163863
1588858575869757666,-0.174578365073
1588858575876471345,-0.174458805469
1588858575883059283,-0.174339490238
1588858575889769329,-0.174220424552
1588858575896481716,-0.174101613568
1588858575903113345,-0.173983062422
1588858575909829352,-0.173864776235
1588858575916492630,-0.173746760107
1588858575923063401,-0.173629019123
1588858575929752585,-0.173511558347
1588858575936446018,-0.173394382824
1588858575943061358,-0.173277497579
1588858575949717992,-0.173160907618
1588858575956384830,-0.173044617926
1588858575963068763,-0.172928633467
1588858575969792583,-0.172812959184
1588858575976395722,-0.1726976
1588858575983052798,-0.172582560814
1588858575989751765,-0.172467846504
1588858575996453664,-0.172353461924
1588858576003067616,-0.172239411908
1588858576009716204,-0.172125701264
1588858576016415341,-0.172012334776
1588858576023051562,-0.171899317206
1588858576029710458,-0.171786653291
1588858576036350290,-0.171674347743
1588858576043129147,-0.171562405247
1588858576049769471,-0.171450830465
1588858576056354024,-0.171339628032
1588858576063034167,-0.171228802557
1588858576069692738,-0.171118358622
1588858576076416171,-0.171008300781
1588858576083017472,-0.170898633564
1588858576089703215,-0.170789361469
1588858576096377675,-0.170680488968
1588858576103006991,-0.170572020505
1588858576109724610,-0.170463960494
1588858576116411135,-0.17035631332
1588858576123124268,-0.170249083338
1588858576129692552,-0.170142274875
1588858576136399290,-0.170035892224
1588858576143034301,-0.169929939651
1588858576149718520,-0.169824421388
1588858576156438157,-0.169719341638
1588858576163039451,-0.16961470457
1588858576169738624,-0.169510514323
1588858576176371177,-0.169406775
1588858576183002026,-0.169303490675
1588858576189730948,-0.169200665385
1588858576196367424,-0.169098303137
1588858576203059731,-0.168996407901
1588858576209677010,-0.168894983613
1588858576216400816,-0.168794034176
1588858576223027915,-0.168693563456
1588858576229714102,-0.168593575284
1588858576236365314,-0.168494073455
1588858576243041896,-0.168395061728
1588858576249754921,-0.168296543826
1588858576256365263,-0.168198523432
1588858576263058862,-0.168101004195
1588858576269739901,-0.168003989725
1588858576276445654,-0.167907483594
1588858576283051230,-0.167811489334
1588858576289798971,-0.16771601044
